#Gene	Study_E_Quad_Total_1	Study_E_Quad_Total_2	Study_E_Quad_Total_3	Study_E_Quad_Total_4	Study_E_Quad_Total_5	Study_E_Quad_Total_6	Study_E_Quad_Total_7	Study_E_Quad_Total_8	Study_E_Quad_Total_9	Study_E_Quad_Total_10	Study_E_Quad_Nascent_1	Study_E_Quad_Nascent_2	Study_E_Quad_Nascent_3	Study_E_Quad_Nascent_4	Study_E_Quad_Nascent_5	Study_E_Quad_Nascent_6	Study_E_Quad_Nascent_7	Study_E_Quad_Nascent_8	Study_E_Quad_Nascent_9	Study_E_Quad_Nascent_10
Plekhg2	5.844164	4.35719	5.725	4.5144149372	4.804935	3.792753	4.782586	5.260052	5.94726	7.171101	2.36161	3.07422	2.55316	2.78664076098	2.162531	1.26285	1.508874	2.487285	2.91395900835	2.532603
Plekhg3	7.60287	7.15531	7.79088	7.67313	6.48448	5.35942	6.37522	7.06411	7.29417	7.89628	8.13844	8.99869	6.39234	6.84156	7.82406	3.93175	7.82593	8.96525	7.92414	7.91745
Plekhg1	2.34863	2.6489	2.37821	2.186034	2.592797	2.279008	3.125469	3.055187679	2.90232	3.13828326	0.65258788	0.855797	0.391237	0.915198	0.66996	0.114474	0.609098	0.6055982	0.928399	0.662836
Plekhg6	0.0426875	0.0917699	0.0190024	0.0933255	0.0	0.0538559	0.153441	0.0	0.0191205	0.0746587	0.0	0.0420384	0.0	0.043992	0.0	0.0	0.0	0.0	0.0423935	0.0
4930592I03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Plekhg4	0.0455271	0.0326225	0.0270204	0.0	0.0921038	0.0638024	0.0969199	0.057294	0.0271879	0.172388	0.0956478	0.655252	0.489243	0.0312077	0.155306	0.0	0.125183	0.407551	0.240161	0.388397
Plekhg5	6.87195	6.10741	6.76508	6.57984	5.91548	5.40595	5.36807	6.85237	7.06192	8.16314	5.88699	9.26132	5.37421	4.73493	6.05203	1.429493	4.72334	6.0729	5.90106	6.71886
Nsa2	41.8839	44.9707	41.5559	39.0225	39.6354	37.146	41.6239	39.6884	42.8331	38.1638	31.1746	29.0231	34.2116	30.9531	36.4966	32.4594	32.8353	33.7314	37.7017	35.7322
Nampt	60.9296	50.7645	65.2161	71.5497	56.3288	48.1201	52.2059	58.8142	60.0123	59.597	167.403	139.918	149.039	145.05	146.821	112.246	117.173	119.492	126.802	143.074
Vmo1	0.0	0.0	0.224891	0.142716	0.0	0.21332	0.0	0.0	0.339709	0.223587	0.277439	0.0	0.0	0.540641	0.0	0.0	0.0	0.0	0.0	0.0
Man2a1	11.4605	11.9767	12.023	12.2278	10.7828	12.3938	13.1928	13.5072	11.9138	12.3299	36.9344	41.9038	42.2447	38.1595	41.6348	32.2694	46.854	37.9816	35.4579	32.4703
F930015N05Rik	0.108119	0.135582	0.144384	0.0393541	0.0182326	0.0757698	0.0143894	0.068067	0.0322844	0.141763	0.151608	0.17712	0.17105	0.185477	0.073858	0.0	0.0893083	0.0605964	0.178566	0.248344
4931406P16Rik	28.2446	30.0217	30.5262	28.9804	28.3734	25.1259	27.0206	32.0353	29.1472	33.5017	164.655	139.809	149.72	142.853	141.479	91.818	143.492	144.734	140.398	152.81
Vwf	15.5677	19.0933	17.9888	12.8395	14.8532	16.3227	14.5557	17.9532	12.6438	14.2898	2.67379	3.2578	2.80974	2.70387	3.61458	1.29982	2.25901	2.36577	1.3043	2.08783
Mier1	10.22358261	12.305912	11.358919	13.626944	11.352774	10.862155	11.0349	11.893585	11.411204	13.12573	49.72353	50.86896	51.22214	41.092701	50.93938	36.40029	46.87738	46.7563	44.4873	50.706645
Mier2	10.962979	11.7027	10.5079	11.942344	11.7989	13.198068	10.8935	11.253433	10.9279	12.38411	17.6388	28.2715	17.943	14.65765	17.648685	12.0129	16.1571	18.840588	16.1064	15.79199
Mier3	6.46628	6.90833	8.1011	7.55815	7.53053	7.32975	7.33447	7.93463	7.27902	7.01392	38.2527	38.4842	36.7099	37.3096	39.313	31.6816	40.1914	33.6973	36.4924	37.6489
Aqp11	3.90312	2.41475	3.28558	3.66134	2.98559	4.05339	3.76995	3.15079	3.5458	3.42697	2.7388	3.54064	2.88145	2.78825	2.00377	7.86387	1.97686	2.02146	1.84452	3.58117
Aqp12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1810010H24Rik	0.332878	0.358003	0.592986	0.664601	1.15051	0.841698	0.587513	1.07832	0.596726	0.644052	1.14297	3.63503	0.901575	0.558234	1.39434	1.31319	1.8017	0.807473	0.408922	0.393537
Rpl31-ps12	5.15153	3.85993	2.83137	7.8133	0.534155	6.66957	5.50583	6.1609	3.19625	1.68069	5.07707	25.4184	8.53399	3.95855	4.77626	31.7363	9.29252	4.06264	9.41556	24.9446
Dag1	154.363327	172.865468	155.514271	159.94329	129.296252	124.387183	154.046919	179.16566	145.1395	150.51088	386.11316	448.25337	360.34383	383.32192	312.691660005	242.96082737	357.63646	354.69052	309.29133	319.91356
Myadm	52.2469	37.67364	55.50856	46.08515	45.70619	36.176534	45.63136	62.59802	65.75444	75.34287	29.5873	25.80974	23.39176	22.25222	18.69248	18.73759	24.99947	29.19658	29.80163	37.525732
Gm15008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.984795	0.0	0.0	2.49239	0.0	0.0	0.0	0.0	0.443973
